Separation Potential
0.000000 1.168335484176838861e+02 nan
0.100000 1.163780887473315460e+02 nan
0.200000 1.159408029195131746e+02 nan
0.300000 1.155134261887720442e+02 nan
0.400000 1.150918728347136550e+02 2.070489287506181313e+02
0.500000 1.146740789796953095e+02 4.715687026937015247e+00
0.600000 1.142589867013611666e+02 1.717489212050865577e+00
0.700000 1.138460480170927838e+02 8.974198557095766082e-01
0.800000 1.134349767978782637e+02 5.479610664649040563e-01
0.900000 1.130256226141718656e+02 3.649042051917622542e-01
1.000000 1.126179058263844297e+02 2.568909902310610449e-01
1.100000 1.122117838991692480e+02 1.880638634037684886e-01
1.200000 1.118072338073239820e+02 1.417866907769991525e-01
1.300000 1.114042428016531829e+02 1.094072570334717054e-01
1.400000 1.110028035444950945e+02 8.603986538894059510e-02
1.500000 1.106029115398649196e+02 6.875032531059979690e-02
1.600000 1.102045637728787284e+02 5.569034079819119853e-02
1.700000 1.098077579882437362e+02 4.565051331220024156e-02
1.800000 1.094124923072019016e+02 3.781450699428023920e-02
1.900000 1.090187650240197428e+02 3.161679432242764376e-02
2.000000 1.086265744978509105e+02 2.665682913679797567e-02
2.100000 1.082359190953124113e+02 2.264542755210370226e-02
2.200000 1.078467971600501443e+02 1.937026599354078199e-02
2.300000 1.074592069966790575e+02 1.667310948459060915e-02
2.400000 1.070731468623850304e+02 1.443444603398457912e-02
2.500000 1.066886149626140821e+02 1.256291450036879642e-02
2.600000 1.063056094489445655e+02 1.098790337911666193e-02
2.700000 1.059241284181284755e+02 9.654288186713644998e-03
2.800000 1.055441699117599086e+02 8.518636428869656371e-03
2.900000 1.051657319162831072e+02 7.546435564650669746e-03
3.000000 1.047888123631858122e+02 6.710044277469368740e-03
3.100000 1.044134091292955446e+02 5.987161854933008460e-03
3.200000 1.040395200371355600e+02 5.359673158002652323e-03
3.300000 1.036671428553163565e+02 4.812768887296433630e-03
3.400000 1.032962752989503485e+02 4.334269712965173847e-03
3.500000 1.029269150300829949e+02 3.914102816017861822e-03
3.600000 1.025590596581364764e+02 3.543893393192305754e-03
3.700000 1.021927067403638603e+02 3.216643604520865157e-03
3.800000 1.018278537823125589e+02 2.926478553298192137e-03
3.900000 1.014644982382964997e+02 2.668444031777566106e-03
4.000000 1.011026375118761678e+02 2.438344521208442132e-03
4.100000 1.007422689563464360e+02 2.232612701163900516e-03
4.200000 1.003833898752319129e+02 2.048203775872170073e-03
4.300000 1.000259975227893392e+02 1.882509462527310164e-03
4.400000 9.967008910451693282e+01 1.733287644196127887e-03
4.500000 9.931566177767042802e+01 1.598604569740153056e-03
4.600000 9.896271265178573628e+01 1.476787153887857340e-03
4.700000 9.861123878920750485e+01 1.366383447657988246e-03
4.800000 9.826123720562426911e+01 1.266129748438415146e-03
4.900000 9.791270487060874927e+01 1.174923129367647263e-03
5.000000 9.756563870816437145e+01 1.091798410992229559e-03
5.100000 9.722003559727673405e+01 1.015908788936403665e-03
5.200000 9.687589237247038909e+01 9.465094818159547558e-04
5.300000 9.653320582437058306e+01 8.829438838965206118e-04
5.400000 9.619197270026971580e+01 8.246318024726498937e-04
5.500000 9.585218970469806266e+01 7.710594357867345434e-04
5.600000 9.551385349999918617e+01 7.217708093826563252e-04
5.700000 9.517696070690891474e+01 6.763604383791575010e-04
5.800000 9.484150790513858453e+01 6.344670232113815969e-04
5.900000 9.450749163396162089e+01 5.957680191646746136e-04
6.000000 9.417490839280358728e+01 5.599749471002779533e-04
6.100000 9.384375464183537474e+01 5.268293342750412752e-04
6.200000 9.351402680256940414e+01 4.960991922960404817e-04
6.300000 9.318572125845865628e+01 4.675759545332441348e-04
6.400000 9.285883435549796161e+01 4.410718067907997688e-04
6.500000 9.253336240282780523e+01 4.164173562777391167e-04
6.600000 9.220930167334020666e+01 3.934595913661087258e-04
6.700000 9.188664840428651814e+01 3.720600927655654238e-04
6.800000 9.156539879788684289e+01 3.520934616797565366e-04
6.900000 9.124554902194088868e+01 3.334459362407162777e-04
7.000000 9.092709521044022836e+01 3.160141715785672045e-04
7.100000 9.061003346418158344e+01 2.997041620193598719e-04
7.200000 9.029435985138094622e+01 2.844302872757976182e-04
7.300000 8.998007040828836978e+01 2.701144671710509313e-04
7.400000 8.966716113980328373e+01 2.566854110591927467e-04
7.500000 8.935562802009012273e+01 2.440779502911549445e-04
7.600000 8.904546699319386960e+01 2.322324439970867044e-04
7.700000 8.873667397365582588e+01 2.210942488276200425e-04
7.800000 8.842924484712878552e+01 2.106132453792384238e-04
7.900000 8.812317547099188175e+01 2.007434145500750931e-04
8.000000 8.781846167496489386e+01 1.914424582418587119e-04
8.100000 8.751509926172157350e+01 1.826714589045152722e-04
8.200000 8.721308400750194778e+01 1.743945737839962793e-04
8.300000 8.691241166272381236e+01 1.665787603127556423e-04
8.400000 8.661307795259233444e+01 1.591935282347695026e-04
8.500000 8.631507857770864689e+01 1.522107167000626680e-04
8.600000 8.601840921467656642e+01 1.456042928165175851e-04
8.700000 8.572306551670749286e+01 1.393501696159154689e-04
8.800000 8.542904311422340413e+01 1.334260413159155253e-04
8.900000 8.513633761545764855e+01 1.278112343817132564e-04
9.000000 8.484494460705354868e+01 1.224865720555584332e-04
9.100000 8.455485965466054665e+01 1.174342519163924374e-04
9.200000 8.426607830352773476e+01 1.126377340731063095e-04
9.300000 8.397859607909474278e+01 1.080816399423846307e-04
9.400000 8.369240848757991103e+01 1.037516598714796861e-04
9.500000 8.340751101656513811e+01 9.963446889257442790e-05
9.600000 8.312389913557795751e+01 9.571765002135727504e-05
9.700000 8.284156829667038835e+01 9.198962418643107412e-05
9.800000 8.256051393499416235e+01 8.843958610564735777e-05
9.900000 8.228073146937279603e+01 8.505744574314665302e-05
10.000000 8.200221630286984009e+01 8.183377469547277070e-05
11.000000 7.928574461369638016e+01 5.662428889371026291e-05
